"url","date","title","count"
"http://www.nytimes.com/1981/03/09/nyregion/news-summary-monday-march-9-1981.html",1981-03-09,"News Summary; MONDAY, MARCH 9, 1981",860
"http://www.nytimes.com/1981/03/10/world/pakistani-kijackers-free-hostages-but-they-threaten-drastic-move.html",1981-03-10,"PAKISTANI KIJACKERS FREE HOSTAGES BUT THEY THREATEN DRASTIC MOVE",396
"http://www.nytimes.com/1981/03/11/world/american-ambassador-is-unhurt-in-an-attack-on-his-car-in-beirut.html",1981-03-11,"AMERICAN AMBASSADOR IS UNHURT IN AN ATTACK ON HIS CAR IN BEIRUT",393
"http://www.nytimes.com/1981/03/14/world/libyans-are-willing-to-help-in-freeing-hijackers-captives.html",1981-03-14,"LIBYANS ARE WILLING TO HELP IN FREEING HIJACKERS' CAPTIVES",866
"http://www.nytimes.com/1981/03/14/nyregion/news-summary-news-summary-saturday-march-14-1981.html",1981-03-14,"NEWS SUMMARY; News Summary; SATURDAY, MARCH 14, 1981",901
"http://www.nytimes.com/1981/03/15/weekinreview/the-world-in-summary-a-two-week-journey-of-fear.html",1981-03-15,"THE WORLD IN SUMMARY; A Two-Week Journey of Fear",297
"http://www.nytimes.com/1981/03/15/world/plane-hijackers-surrender-in-syria-ending-13-day-ordeal-for-hostages.html",1981-03-15,"PLANE HIJACKERS SURRENDER IN SYRIA, ENDING 13-DAY ORDEAL FOR HOSTAGES",726
"http://www.nytimes.com/1981/03/15/nyregion/news-summary-sunday-march-15-1981.html",1981-03-15,"News Summary; SUNDAY, MARCH 15, 1981",609
"http://www.nytimes.com/1981/03/16/world/let-discipline-fit-the-offense-not-the-quota.html",1981-03-16,"LET DISCIPLINE FIT THE OFFENSE, NOT THE QUOTA",1796
"http://www.nytimes.com/1981/03/16/world/pakistan-aide-lauds-actions-of-syrians-in-ending-hijacking.html",1981-03-16,"PAKISTAN AIDE LAUDS ACTIONS OF SYRIANS IN ENDING HIJACKING",1147
"http://www.nytimes.com/1981/03/16/world/us-is-seeking-to-identify-a-man-on-the-hijacked-jet.html",1981-03-16,"U.S. IS SEEKING TO IDENTIFY A MAN ON THE HIJACKED JET",682
"http://www.nytimes.com/1981/03/16/world/zia-calls-hijacking-part-of-conspiracy.html",1981-03-16,"ZIA CALLS HIJACKING PART OF CONSPIRACY",350
"http://www.nytimes.com/1981/03/16/nyregion/news-summary-monday-march-16-1981.html",1981-03-16,"News Summary; MONDAY, MARCH 16, 1981",905
"http://www.nytimes.com/1981/03/17/world/moslems-who-were-held-in-hijacking-fly-to-mecca.html",1981-03-17,"MOSLEMS WHO WERE HELD IN HIJACKING FLY TO MECCA",606
"http://www.nytimes.com/1981/03/17/world/us-accuses-soviet-of-ignoring-appeals-to-halt-hijacking.html",1981-03-17,"U.S. ACCUSES SOVIET OF IGNORING APPEALS TO HALT HIJACKING",963
"http://www.nytimes.com/1981/03/20/world/around-the-world-pakistani-plane-hijackers-are-allowed-to-stay-in-syria.html",1981-03-20,"Around the World; Pakistani Plane Hijackers Are Allowed to Stay in Syria",90
"http://www.nytimes.com/1981/03/23/world/around-the-world-pakistan-asks-syria-to-extradite-3-hijackers.html",1981-03-23,"AROUND THE WORLD; Pakistan Asks Syria To Extradite 3 Hijackers",120
"http://www.nytimes.com/1981/03/24/world/syria-won-t-hand-over-hijackers.html",1981-03-24,"Syria Won't Hand Over Hijackers",52
"http://www.nytimes.com/1981/03/26/world/assad-says-he-ll-let-guerrillas-raid-israel-from-syrian-territory.html",1981-03-26,"ASSAD SAYS HE'LL LET GUERRILLAS RAID ISRAEL FROM SYRIAN TERRITORY",191
"http://www.nytimes.com/1981/04/02/world/us-aides-in-syria-are-reported-to-seize-former-plane-hostages.html",1981-04-02,"U.S. AIDES IN SYRIA ARE REPORTED TO SEIZE FORMER PLANE HOSTAGES",112
"http://www.nytimes.com/1981/04/04/world/truce-is-reported-in-lebanese-town.html",1981-04-04,"TRUCE IS REPORTED IN LEBANESE TOWN",571
"http://www.nytimes.com/1981/04/05/world/no-headline-070955.html",1981-04-05,"No Headline",238
"http://www.nytimes.com/1981/04/06/world/joint-patrols-seek-to-end-fighting-in-beirut.html",1981-04-06,"JOINT PATROLS SEEK TO END FIGHTING IN BEIRUT",682
"http://www.nytimes.com/1981/04/07/world/american-held-hostage-on-plane-is-returned-to-face-drug-charge.html",1981-04-07,"American Held Hostage on Plane Is Returned to Face Drug Charge",162
"http://www.nytimes.com/1981/04/08/world/un-uncertain-on-lebanon-role.html",1981-04-08,"U.N. UNCERTAIN ON LEBANON ROLE",473
"http://www.nytimes.com/1981/04/09/world/lebanon-president-orders-a-cease-fire.html",1981-04-09,"LEBANON PRESIDENT ORDERS A CEASE-FIRE",601
"http://www.nytimes.com/1981/04/10/world/some-gunfire-erupts-in-lebanon-but-the-cease-fire-seems-to-be-holding.html",1981-04-10,"SOME GUNFIRE ERUPTS IN LEBANON BUT THE CEASE-FIRE SEEMS TO BE HOLDING",485
"http://www.nytimes.com/1981/04/10/world/house-panel-acts-to-bar-130-million-to-syrians.html",1981-04-10,"House Panel Acts to Bar $130 Million to Syrians",199
"http://www.nytimes.com/1981/04/12/weekinreview/stronger-foes-struggle-over-lebanon.html",1981-04-12,"STRONGER FOES STRUGGLE OVER LEBANON",986
"http://www.nytimes.com/1981/04/12/world/assad-assails-an-imperialist-zionist-plot-in-lebanon.html",1981-04-12,"ASSAD ASSAILS AN 'IMPERIALIST, ZIONIST' PLOT IN LEBANON",434
"http://www.nytimes.com/1981/04/14/world/fighting-in-lebanon-christians-blocked-by-strians-news-analysis.html",1981-04-14,"FIGHTING IN LEBANON: CHRISTIANS BLOCKED BY STRIANS; News Analysis",846
"http://www.nytimes.com/1981/04/20/world/around-the-world-bhutto-s-son-says-hijackers-were-members-of-his-group.html",1981-04-20,"AROUND THE WORLD; Bhutto's Son Says Hijackers Were Members of His Group",126
"http://www.nytimes.com/1981/04/25/world/beirut-reports-accord-on-key-town.html",1981-04-25,"BEIRUT REPORTS ACCORD ON KEY TOWN",402
"http://www.nytimes.com/1981/04/26/world/new-clashes-seem-to-smash-lebanon-truce.html",1981-04-26,"NEW CLASHES SEEM TO SMASH LEBANON TRUCE",507
